"","time_step","resources","estimate","cost_culling","cost_tend_crop","cost_unused","act_culling","act_kill_crop","act_unused","crop_yield","harvested","sim"
"306",6,1987376,2008344.67120181,10,10,20,386,0,0,101.209866159033,386,"N1f"
"307",7,1984963,2007709.75056689,10,10,20,386,0,0,101.542352454744,386,"N1f"
"308",8,1982610,1993560.09070295,30,10,0,123,0,0,101.958738384639,123,"N1f"
"309",9,1980532,1989841.26984127,30,10,0,123,0,0,102.352472482672,123,"N1f"
"310",10,1978458,1976870.74829932,30,10,0,123,0,0,102.687555392204,123,"N1f"
"311",11,1976395,1953106.57596372,30,10,0,123,0,0,103.003639960864,123,"N1f"
"312",12,1974340,1975328.79818594,30,10,0,123,0,0,103.341197838907,123,"N1f"
"313",13,1972134,1961904.76190476,30,10,0,123,0,0,103.678223178279,123,"N1f"
"314",14,1969962,1985124.71655329,30,10,0,123,0,0,104.04565870439,123,"N1f"
"315",15,1967841,1966167.80045351,30,10,0,123,0,0,104.392847778564,123,"N1f"
"316",16,1965680,1963174.6031746,30,10,0,123,0,0,104.739160912215,123,"N1f"
"317",17,1963550,1986213.15192744,30,10,0,123,0,0,105.104458150519,123,"N1f"
"318",18,1961453,1948027.21088435,30,10,0,123,0,0,105.439143548064,123,"N1f"
"319",19,1959325,1938321.99546485,30,10,0,123,0,0,105.78682323275,123,"N1f"
"320",20,1957231,1964444.44444444,30,10,0,123,0,0,106.133349250663,123,"N1f"
"321",21,1955148,1951564.62585034,30,10,0,123,0,0,106.483587009046,123,"N1f"
"322",22,1952980,1923446.71201814,30,10,0,123,0,0,106.840114127787,123,"N1f"
"323",23,1950885,1947482.99319728,30,10,0,123,0,0,107.203299091911,123,"N1f"
"324",24,1948694,1949024.94331066,30,10,0,123,0,0,107.559487697652,123,"N1f"
"325",25,1946499,1948299.31972789,30,10,0,123,0,0,107.925278545343,123,"N1f"
"326",26,1944369,1943582.76643991,30,10,0,123,0,0,108.303329662013,123,"N1f"
"327",27,1942305,1925170.06802721,30,10,0,123,0,0,108.668045075372,123,"N1f"
"328",28,1940192,1942947.84580499,30,10,0,123,0,0,109.013412492414,123,"N1f"
"329",29,1937996,1934512.47165533,30,10,0,123,0,0,109.375700966337,123,"N1f"
"330",30,1935840,1968163.26530612,30,10,0,123,0,0,109.735641740967,123,"N1f"
"331",31,1933724,1925351.4739229,30,10,0,123,0,0,110.107882879166,123,"N1f"
"332",32,1931502,1956734.69387755,30,10,0,123,0,0,110.465957461063,123,"N1f"
"333",33,1929451,1946031.74603175,30,10,0,123,0,0,110.852437362327,123,"N1f"
"334",34,1927331,1939138.32199546,30,10,0,123,0,0,111.195668708003,123,"N1f"
"335",35,1925213,1944580.49886621,30,10,0,123,0,0,111.564926603124,123,"N1f"
"336",36,1923079,1920362.81179138,30,10,0,123,0,0,111.932950291242,123,"N1f"
"337",37,1920908,1901496.59863946,30,10,0,123,0,0,112.298314021265,123,"N1f"
"338",38,1918737,1924444.44444444,30,10,0,123,0,0,112.684835110024,123,"N1f"
"339",39,1916639,1887437.64172336,30,10,0,123,0,0,113.065284951546,123,"N1f"
"340",40,1914507,1902222.22222222,30,10,0,123,0,0,113.420070453842,123,"N1f"
"341",41,1912351,1914013.60544218,30,10,0,123,0,0,113.794905517811,123,"N1f"
"342",42,1910239,1910657.59637188,30,10,0,123,0,0,114.185514078165,123,"N1f"
"343",43,1908087,1919637.18820862,30,10,0,123,0,0,114.57205265536,123,"N1f"
"344",44,1905888,1906666.66666667,30,10,0,123,0,0,114.969305838136,123,"N1f"
"345",45,1903671,1893877.55102041,30,10,0,123,0,0,115.362390861632,123,"N1f"
"346",46,1901473,1914920.63492064,30,10,0,123,0,0,115.762931082971,123,"N1f"
"347",47,1899364,1909206.34920635,30,10,0,123,0,0,116.16428722768,123,"N1f"
"348",48,1897216,1909659.86394558,30,10,0,123,0,0,116.540582464092,123,"N1f"
"349",49,1895108,1881995.46485261,30,10,0,123,0,0,116.923711562632,123,"N1f"
"350",50,1892934,1893514.73922903,30,10,0,123,0,0,117.299940654702,123,"N1f"
